# [Setup]
# logfile: auto
# gpib_num: 18
# [Experiment]
# start_freq: 10
# stop_freq: 100000
# points: 400
# linear_type: false
##########
# Comment: Optimised PID settings for "almost" locking
##########
# Frequency (Hz), LogMagnitude (dB), Phase (deg)
5.0032e+04,-4.8102e+01,-1.5703e+02
5.1200e+04,-4.8005e+01,-1.6066e+02
5.2396e+04,-4.7867e+01,-1.6427e+02
5.3620e+04,-4.7715e+01,-1.6774e+02
5.4872e+04,-4.7531e+01,-1.7130e+02
5.6153e+04,-4.7320e+01,-1.7487e+02
5.7464e+04,-4.7080e+01,-1.7842e+02
5.8806e+04,-4.6831e+01,-1.8194e+02
6.0180e+04,-4.6561e+01,-1.8542e+02
6.1585e+04,-4.6271e+01,-1.8881e+02
6.3023e+04,-4.5970e+01,-1.9216e+02
6.4495e+04,-4.5645e+01,-1.9552e+02
6.6001e+04,-4.5303e+01,-1.9884e+02
6.7542e+04,-4.4941e+01,-2.0198e+02
6.9119e+04,-4.4583e+01,-2.0535e+02
7.0733e+04,-4.4216e+01,-2.0853e+02
7.2385e+04,-4.3844e+01,-2.1169e+02
7.4075e+04,-4.3443e+01,-2.1481e+02
7.5805e+04,-4.3049e+01,-2.1789e+02
7.7575e+04,-4.2653e+01,-2.2098e+02
7.9387e+04,-4.2250e+01,-2.2405e+02
8.1241e+04,-4.1844e+01,-2.2712e+02
8.3138e+04,-4.1435e+01,-2.3016e+02
8.5079e+04,-4.1028e+01,-2.3324e+02
8.7066e+04,-4.0617e+01,-2.3633e+02
8.9099e+04,-4.0215e+01,-2.3944e+02
9.1180e+04,-3.9803e+01,-2.4257e+02
9.3309e+04,-3.9405e+01,-2.4573e+02
9.5488e+04,-3.8996e+01,-2.4888e+02
9.7718e+04,-3.8598e+01,-2.5215e+02
1.0000e+05,-3.8208e+01,-2.5549e+02
